Ref,Val,Package,PosX,PosY,Rot,Side
"C100","1u","C_0603_1608Metric",135.000000,-55.775000,-90.000000,top
"C101","1u","C_0603_1608Metric",131.000000,-54.225000,90.000000,top
"C102","22u","C_0805_2012Metric",129.500000,-73.000000,-90.000000,top
"C103","22u","C_0805_2012Metric",133.500000,-74.500000,180.000000,top
"C104","22u","C_0805_2012Metric",131.000000,-57.275000,0.000000,top
"C105","22u","C_0805_2012Metric",132.000000,-64.000000,90.000000,top
"C106","DNP","C_0402_1005Metric",129.730000,-65.750000,180.000000,top
"C107","22u","C_0805_2012Metric",129.500000,-79.000000,90.000000,top
"C108","100n","C_0402_1005Metric",130.500000,-75.500000,180.000000,top
"C200","10u","C_0603_1608Metric",151.000000,-79.250000,90.000000,top
"C201","100n","C_0402_1005Metric",152.500000,-79.250000,90.000000,top
"C202","100n","C_0402_1005Metric",160.860000,-88.500000,180.000000,top
"C203","100n","C_0402_1005Metric",164.500000,-80.000000,-90.000000,top
"C204","100n","C_0402_1005Metric",156.000000,-76.620000,0.000000,top
"C205","10n","C_0402_1005Metric",152.500000,-83.500000,90.000000,top
"C206","1u","C_0603_1608Metric",151.000000,-83.645000,90.000000,top
"C207","1u","C_0603_1608Metric",149.250000,-83.645000,90.000000,top
"C208","10p","C_0402_1005Metric",148.510000,-80.370000,180.000000,top
"C209","10p","C_0402_1005Metric",146.470000,-80.370000,0.000000,top
"C210","100n","C_0402_1005Metric",145.000000,-59.750000,-90.000000,top
"C211","100n","C_0402_1005Metric",157.500000,-55.000000,-90.000000,top
"C212","100n","C_0402_1005Metric",155.500000,-64.000000,0.000000,top
"C300","150p","C_0402_1005Metric",133.000000,-110.000000,-90.000000,top
"C301","100n","C_0402_1005Metric",131.500000,-110.000000,-90.000000,top
"C302","100n","C_0402_1005Metric",130.000000,-107.000000,90.000000,top
"C303","1n","C_0402_1005Metric",135.500000,-106.500000,0.000000,top
"C304","150p","C_0402_1005Metric",130.000000,-103.500000,90.000000,top
"C305","1n","C_0402_1005Metric",135.500000,-102.000000,180.000000,top
"C306","100n","C_0402_1005Metric",130.000000,-100.500000,-90.000000,top
"C307","150p","C_0402_1005Metric",135.500000,-99.000000,180.000000,top
"C308","10u","C_0603_1608Metric",132.500000,-85.275000,-90.000000,top
"C309","10u","C_0603_1608Metric",130.000000,-86.000000,0.000000,top
"C310","10u","C_0603_1608Metric",130.000000,-92.000000,180.000000,top
"C311","100n","C_0402_1005Metric",130.500000,-93.500000,180.000000,top
"C312","10u","C_0603_1608Metric",135.000000,-88.750000,180.000000,top
"C313","100n","C_0402_1005Metric",135.000000,-90.250000,180.000000,top
"C314","100n","C_0402_1005Metric",135.000000,-94.750000,180.000000,top
"C315","10u","C_0603_1608Metric",135.000000,-96.250000,180.000000,top
"C400","10u","C_0603_1608Metric",160.725000,-101.000000,180.000000,top
"C401","100n","C_0402_1005Metric",161.020000,-97.000000,180.000000,top
"C402","1u","C_0603_1608Metric",160.725000,-99.000000,180.000000,top
